epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.6,1.26456,1.77538,0.83292,0.75105,0.28727,0.31891,0.18196,1.33466,1.63204,0.82747,0.000405983,0.000405983,0.000405983
2,457.726,1.2276,0.73036,0.81984,0.06447,0.38121,0.05942,0.03566,1.22691,32.2166,0.82536,0.000814505,0.000814505,0.000814505
3,621.328,1.27008,0.78664,0.82191,0.6192,0.4634,0.43899,0.25294,1.26221,1.0743,0.83294,0.00121478,0.00121478,0.00121478
4,833.367,1.2988,0.68198,0.82129,0.84887,0.48729,0.58986,0.3451,1.25624,0.7935,0.82019,0.00121287,0.00121287,0.00121287
5,1054.59,1.22219,0.64022,0.81724,0.6321,0.58311,0.52799,0.32045,1.09729,0.72441,0.80701,0.0012005,0.0012005,0.0012005
6,1233.83,1.12758,0.59605,0.8089,0.85859,0.47139,0.5725,0.32214,1.12709,0.66565,0.81049,0.00118812,0.00118812,0.00118812
7,1389.42,1.12676,0.58391,0.80596,0.66912,0.59177,0.64506,0.39361,1.02782,0.59871,0.80192,0.00117575,0.00117575,0.00117575
8,1559.92,1.09044,0.57225,0.80444,0.61093,0.55255,0.55724,0.27862,1.34555,0.75127,0.83583,0.00116337,0.00116337,0.00116337
9,1761.04,1.05977,0.55845,0.80451,0.84475,0.63517,0.70287,0.43012,0.96635,0.54982,0.79702,0.001151,0.001151,0.001151
10,1976.04,1.07947,0.54704,0.8026,0.81625,0.66487,0.70562,0.45317,0.93195,0.54937,0.79585,0.00113863,0.00113863,0.00113863
11,2152.31,1.02348,0.51636,0.79799,0.83313,0.62299,0.69624,0.45642,0.93431,0.50236,0.79476,0.00112625,0.00112625,0.00112625
12,2394.74,1.00651,0.51423,0.79734,0.68108,0.61666,0.65245,0.40538,0.95077,0.63408,0.80201,0.00111388,0.00111388,0.00111388
13,2584.06,1.03748,0.50523,0.79972,0.89763,0.68235,0.75654,0.49558,0.92417,0.5034,0.79579,0.0011015,0.0011015,0.0011015
14,2770.16,0.98232,0.47999,0.79673,0.86368,0.68052,0.75345,0.47483,0.9483,0.49638,0.79949,0.00108913,0.00108913,0.00108913
